PROSPECTID,MARITALSTATUS,EDUCATION,GENDER,last_prod_enq2,first_prod_enq2,time_since_recent_payment,num_times_delinquent,unstructured_data_comment
1,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
2,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
3,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
4,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
5,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
6,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
7,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
8,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
9,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
10,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
11,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
12,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
13,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
14,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
15,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
16,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
17,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
18,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
19,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
20,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
21,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
22,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
23,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
24,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
25,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
26,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
27,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
28,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
29,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
30,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
31,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
32,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
33,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
34,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
35,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
36,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
